config,snr_level,ba,recall_speech,recall_nonspeech,n_total,n_speech,n_nonspeech
LoRA+OPRO-Tmpl,snr_20dB,0.9845360824742269,1.0,0.9690721649484536,970,485,485
Qwen3+Hand,snr_-10dB,0.98659793814433,0.9896907216494846,0.9835051546391752,970,485,485
Qwen3+Hand,snr_-5dB,0.9845360824742269,0.9979381443298969,0.9711340206185567,970,485,485
Qwen3+Hand,snr_0dB,0.9876288659793815,1.0,0.9752577319587629,970,485,485
Qwen3+Hand,snr_5dB,0.9855670103092784,1.0,0.9711340206185567,970,485,485
Qwen3+Hand,snr_10dB,0.9855670103092784,1.0,0.9711340206185567,970,485,485
Qwen3+Hand,snr_20dB,0.9814432989690722,1.0,0.9628865979381444,970,485,485
Qwen3+OPRO-LLM,snr_-10dB,0.956701030927835,0.9216494845360824,0.9917525773195877,970,485,485
Qwen3+OPRO-LLM,snr_-5dB,0.98659793814433,0.9958762886597938,0.977319587628866,970,485,485
Qwen3+OPRO-LLM,snr_0dB,0.988659793814433,1.0,0.977319587628866,970,485,485
Qwen3+OPRO-LLM,snr_5dB,0.9855670103092784,1.0,0.9711340206185567,970,485,485
Qwen3+OPRO-LLM,snr_10dB,0.9762886597938144,1.0,0.9525773195876288,970,485,485
Qwen3+OPRO-LLM,snr_20dB,0.9752577319587629,1.0,0.9505154639175257,970,485,485
Qwen3+OPRO-Tmpl,snr_-10dB,0.9608247422680412,0.9525773195876288,0.9690721649484536,970,485,485
Qwen3+OPRO-Tmpl,snr_-5dB,0.9711340206185567,0.9958762886597938,0.9463917525773196,970,485,485
Qwen3+OPRO-Tmpl,snr_0dB,0.9608247422680412,1.0,0.9216494845360824,970,485,485
Qwen3+OPRO-Tmpl,snr_5dB,0.9484536082474226,1.0,0.8969072164948454,970,485,485
Qwen3+OPRO-Tmpl,snr_10dB,0.9432989690721649,1.0,0.8865979381443299,970,485,485
Qwen3+OPRO-Tmpl,snr_20dB,0.931958762886598,1.0,0.8639175257731959,970,485,485
