cat_id,category,group,Base+Hand,Base+OPRO-LLM,Base+OPRO-Tmpl,LoRA+Hand,LoRA+OPRO-LLM,LoRA+OPRO-Tmpl,Qwen3+Hand,Qwen3+OPRO-LLM,Qwen3+OPRO-Tmpl,mean_accuracy
21,sneezing,Human vocalizations,0.9273,0.7227,0.8409,0.7636,0.2682,0.8682,0.8591,0.8773,0.7091,0.7596
22,clapping,Human vocalizations,0.9909,0.9091,0.8364,0.9091,0.8091,0.8455,0.7909,0.9091,0.8455,0.8717
23,breathing,Human vocalizations,0.9615,0.8497,0.9126,0.9056,0.6748,0.9720,0.9825,0.9545,0.6434,0.8730
24,coughing,Human vocalizations,0.5455,0.6061,0.4394,0.3586,0.2323,0.5657,0.9091,0.9444,0.4747,0.5640
25,footsteps,Human vocalizations,1.0000,0.9962,0.9924,1.0000,0.8144,1.0000,1.0000,1.0000,0.9886,0.9769
26,laughing,Human vocalizations,0.5284,0.5455,0.1477,0.3523,0.4886,0.3182,0.6250,0.6477,0.3011,0.4394
27,brushing_teeth,Human vocalizations,1.0000,0.9716,0.7557,0.9886,0.9148,0.9943,1.0000,0.9773,0.9034,0.9451
28,snoring,Human vocalizations,0.9752,0.9421,0.7810,0.9008,0.5661,0.9587,0.9959,0.9752,0.8678,0.8848
29,drinking_sipping,Human vocalizations,1.0000,0.8182,0.8909,0.8455,0.1727,0.9727,1.0000,1.0000,0.8727,0.8414
30,door_knock,Mechanical/domestic,1.0000,0.7689,0.9621,0.8371,0.3447,0.9583,1.0000,1.0000,0.9280,0.8666
31,mouse_click,Mechanical/domestic,1.0000,0.9286,0.9870,0.9481,0.6429,0.9740,1.0000,1.0000,0.9545,0.9372
32,keyboard,Mechanical/domestic,1.0000,0.9545,0.9697,0.9735,0.7841,0.9924,1.0000,1.0000,0.9848,0.9621
33,door_wood_creaks,Mechanical/domestic,0.9924,0.9470,0.7727,0.9318,0.8864,1.0000,1.0000,1.0000,1.0000,0.9478
34,can_opening,Mechanical/domestic,1.0000,0.9848,0.9242,0.9899,0.6717,0.9899,0.9848,0.9899,0.9545,0.9433
35,washing_machine,Mechanical/domestic,0.9959,0.9380,0.8264,0.9752,0.8843,0.9959,0.9876,0.9793,0.9380,0.9467
36,vacuum_cleaner,Mechanical/domestic,1.0000,0.9917,0.7934,0.9959,0.9793,1.0000,1.0000,0.9835,0.9835,0.9697
37,clock_alarm,Mechanical/domestic,0.9968,0.9870,0.6104,0.9935,0.9416,0.9740,1.0000,1.0000,0.9968,0.9444
38,clock_tick,Mechanical/domestic,0.9959,0.9711,0.9421,0.9711,0.7521,0.9835,1.0000,1.0000,0.9752,0.9545
39,glass_breaking,Mechanical/domestic,1.0000,0.7727,0.9455,0.8545,0.4045,0.9136,0.9545,0.9864,0.9091,0.8601
40,helicopter,Machinery/transport,1.0000,0.9545,0.8977,0.9697,0.8902,0.9962,1.0000,0.9962,0.9735,0.9642
41,chainsaw,Machinery/transport,0.9830,0.8977,0.4318,0.8636,0.8864,0.9545,0.9830,0.9659,0.9261,0.8769
42,siren,Machinery/transport,0.9825,0.9476,0.6643,0.9580,0.7832,0.9825,0.9790,0.9196,0.9755,0.9103
43,car_horn,Machinery/transport,0.9495,0.9141,0.5960,0.9192,0.7475,0.9747,0.9798,0.9545,0.9141,0.8833
44,engine,Machinery/transport,1.0000,0.9659,0.8807,0.9943,0.8864,0.9943,1.0000,0.9943,0.9375,0.9615
45,train,Machinery/transport,0.9805,0.9870,0.9221,0.9935,0.9675,1.0000,1.0000,1.0000,0.9545,0.9784
46,church_bells,Machinery/transport,0.9899,0.9545,0.8889,0.9747,0.9040,0.9798,0.9848,0.9343,0.9545,0.9517
47,airplane,Machinery/transport,1.0000,0.9773,0.9015,0.9697,0.9545,1.0000,1.0000,1.0000,0.9470,0.9722
48,fireworks,Machinery/transport,1.0000,0.9273,0.9136,0.9864,0.6773,1.0000,1.0000,1.0000,0.9955,0.9444
49,hand_saw,Machinery/transport,0.9899,0.9293,0.8687,0.9141,0.7475,0.9646,0.9899,0.9848,0.9040,0.9214
